4,2,,4,0.333333
8,4,,8,0.428571
16,7,,16,0.4
32,17,,32,0.387097
64,27,,64,0.31746
128,58,,128,0.299213
256,114,,256,0.32549
512,230,,512,0.322896
1024,461,,1024,0.322581
2048,951,,2048,0.34001
4096,1836,,4096,0.321123
8192,4003,,8192,0.382371
,,,,
2,529,,2,0.394917
4,552,,4,0.43695
8,519,,8,0.381232
16,627,,16,0.515152
32,849,,32,0.722385
64,1247,,64,1.09775
128,2043,,128,1.89247
256,3645,,256,3.4565
512,7088,,512,6.81916
,,,,
4,7,,4,2.33333
8,4,,8,0.428571
16,6,,16,0.266667
32,12,,32,0.354839
64,24,,64,0.285714
128,45,,128,0.338583
256,89,,256,0.262745
512,192,,512,0.254403
1024,367,,1024,0.243402
,,,,
2,353,,2,0.213099
4,373,,4,0.245357
8,410,,8,0.285435
16,614,,16,0.460411
32,685,,32,0.537634
64,961,,64,0.822092
128,1574,,128,1.40274
256,2807,,256,2.62463
512,5315,,512,5.07918